subscription_id,account_id,start_date,end_date,plan_tier_x,seats_x,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,industry,country,plan_tier_y,seats_y,signup_date,referral_source,is_trial_y,usage_count,usage_duration_secs,error_count,is_beta_feature,total_tickets,resolution_time_hours,satisfaction_score,reason_code,feedback_text,Churned,signup_month,tenure_months
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12 00:00:00.000000,Enterprise,14,2786,33432,False,False,False,True,monthly,True,DevTools,UK,Pro,1,2023-08-26,event,False,63.0,26418.0,2.0,1.0,4.0,33.25,3.5,Active,No feedback,1,2023-08,3.7
S-0f6f44,A-9b9fe9,2024-06-11,2026-02-12 22:02:11.429868,Pro,17,833,9996,False,False,False,False,monthly,True,EdTech,AU,Basic,5,2023-09-28,other,False,36.0,6819.0,6.0,0.0,4.0,33.5,4.0,features,switched to competitor,0,2023-09,20.366666666666667
S-51c0d1,A-659280,2024-11-25,2026-02-12 22:02:11.429868,Enterprise,62,0,0,True,True,False,False,annual,False,FinTech,IN,Enterprise,13,2023-11-17,event,True,25.0,13877.0,2.0,0.0,4.0,8.0,4.333333333333333,pricing,switched to competitor,0,2023-11,14.8
S-f81687,A-e7a1e2,2024-11-23,2024-12-13 00:00:00.000000,Enterprise,5,995,11940,False,False,False,True,monthly,True,Cybersecurity,US,Enterprise,3,2024-06-23,event,False,65.0,22943.0,5.0,0.0,1.0,45.0,4.0,support,missing features,1,2024-06,0.6666666666666666
S-cff5a2,A-ba6516,2024-01-10,2026-02-12 22:02:11.429868,Enterprise,27,5373,64476,False,False,False,False,monthly,True,FinTech,US,Pro,27,2023-10-29,ads,False,0.0,0.0,0.0,0.0,6.0,31.5,4.0,budget,No feedback,0,2023-10,25.466666666666665
S-4b9b13,A-fa2041,2024-08-13,2026-02-12 22:02:11.429868,Pro,15,735,8820,False,False,False,False,monthly,True,HealthTech,US,Pro,15,2024-05-29,organic,True,49.0,12581.0,2.0,0.0,1.0,16.0,3.0,competitor,switched to competitor,0,2024-05,18.266666666666666
S-dceac6,A-417d2f,2023-12-30,2026-02-12 22:02:11.429868,Enterprise,4,796,9552,False,False,False,False,annual,True,Cybersecurity,IN,Pro,4,2023-07-04,partner,True,33.0,13929.0,2.0,1.0,6.0,43.5,4.333333333333333,budget,missing features,0,2023-07,25.833333333333332
S-8cad7b,A-5f2961,2024-12-23,2026-02-12 22:02:11.429868,Basic,16,304,3648,False,False,False,False,annual,True,HealthTech,US,Basic,4,2024-11-22,partner,False,39.0,14245.0,2.0,0.0,1.0,53.0,4.0,pricing,switched to competitor,0,2024-11,13.866666666666667
S-24796e,A-cc8c8f,2024-11-27,2026-02-12 22:02:11.429868,Enterprise,23,4577,54924,False,False,False,False,annual,False,DevTools,US,Enterprise,23,2024-06-16,ads,False,61.0,12773.0,3.0,0.0,2.0,14.5,3.5,budget,missing features,0,2024-06,14.733333333333333
S-d0c344,A-80eeb6,2024-10-27,2026-02-12 22:02:11.429868,Pro,22,1078,12936,False,False,False,False,annual,False,Cybersecurity,UK,Enterprise,22,2023-05-09,organic,False,67.0,24269.0,8.0,2.0,4.0,40.25,3.6666666666666665,features,missing features,0,2023-05,15.766666666666667
S-477506,A-f03140,2024-02-06,2026-02-12 22:02:11.429868,Pro,27,1323,15876,False,False,False,False,annual,True,DevTools,IN,Pro,27,2023-11-22,event,True,93.0,33007.0,6.0,0.0,7.0,36.0,3.6666666666666665,competitor,missing features,0,2023-11,24.566666666666666
S-79a9e1,A-3a5ad8,2024-12-25,2026-02-12 22:02:11.429868,Enterprise,22,0,0,True,False,False,False,annual,True,HealthTech,US,Enterprise,9,2023-12-05,organic,True,14.0,4036.0,0.0,0.0,4.0,44.75,4.5,Active,No feedback,0,2023-12,13.8
S-59dc4b,A-f17767,2023-09-17,2026-02-12 22:02:11.429868,Pro,26,1274,15288,False,True,True,False,monthly,True,DevTools,US,Enterprise,1,2023-01-30,event,True,67.0,35026.0,6.0,0.0,3.0,36.333333333333336,4.0,pricing,No feedback,0,2023-01,29.3
S-7acd8b,A-7920cc,2024-07-17,2026-02-12 22:02:11.429868,Basic,39,741,8892,False,False,False,False,annual,True,Cybersecurity,FR,Pro,39,2023-11-23,ads,False,66.0,15084.0,1.0,0.0,7.0,32.857142857142854,4.333333333333333,Active,No feedback,0,2023-11,19.166666666666668
S-428e9a,A-8ae3fc,2024-10-12,2026-02-12 22:02:11.429868,Enterprise,88,0,0,True,False,False,False,monthly,True,DevTools,CA,Pro,9,2024-06-28,ads,False,37.0,15929.0,4.0,1.0,4.0,39.5,3.5,budget,No feedback,0,2024-06,16.266666666666666
